Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
3,Square of Sea Surface Temperature,degC2,"square of temperature of liquid ocean, averaged over the day.","square of temperature of liquid ocean, averaged over the day.",tossq,square_of_sea_surface_temperature,time: mean,,real,longitude latitude time,tossq,ocean,day,area: areacello,Oday ((isd.003)),,15,baa71c7c-e5dd-11e5-8482-ac72891c3257,d1b497a4f7f4cb666757ec97d152079e,f7ddef0c-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,CMIP,DAMIP,GMMIP,HighResMIP,OMIP,VolMIP","CMIP6,DECK,OMIP",2,False,1,False,x,x,x,x,x,NEMO:1,lo-la-ti__tossq,,
3,Sea Surface Temperature,K,"temperature of liquid ocean.  Note that the correct standard_name for this variable is ""sea_surface_temperature"", not ""surface_temperature"", but this was discovered too late to correct.  To maintain consistency across CMIP5 models, the wrong standard_name will continue to be used.",,tos,sea_surface_temperature,time: mean,,real,longitude latitude time,tos,ocean,day,area: areacello,Oday ((isd.003)),,16,baa720e6-e5dd-11e5-8482-ac72891c3257,0e5d376315a376cd2b1e37f440fe43d3,f7ddef0c-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,CMIP,CORDEX,DAMIP,GMMIP,HighResMIP,OMIP,VolMIP","CMIP6,DECK,OMIP",1,x,1,False,x,x,x,x,x,NEMO:1,lo-la-ti__tos,,
3,Sea Surface Salinity,0.001,,,sos,sea_surface_salinity,time: mean,,real,longitude latitude time,sos,ocean,day,area: areacello,Oday ((isd.003)),,17,baa72514-e5dd-11e5-8482-ac72891c3257,74a9891bcab2667dbcb66574c6370c86,f7ddef0c-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",OMIP,"CMIP6,DECK,OMIP",1,x,1,,x,x,x,x,x,NEMO:1,lo-la-ti__sos,,
1,Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,m,unset,,omldamax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,area: mean time: maximum,,real,longitude latitude time,omldamax,ocean,day,area: areacello,day ((isd.003)),day_oth,23,bab2ce3c-e5dd-11e5-8482-ac72891c3257,5f8dc9362d17e2daa42dd6f0f38afb76,f7e37f76-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmax]","CFMIP,CMIP,DAMIP,GMMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,GeoMIP,HighResMIP,ISMIP6,PMIP,ScenarioMIP,VolMIP",2,x,1,False,False,False,False,False,x,UM:1,lo-la-ti__omldamax,,
