Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,,,,,,,,,,
1,Ocean Grid-Cell Volume,m3,grid-cell volume ca. 2000.,grid-cell volume ca. 2000.,volcello,ocean_volume,area: mean,,real,longitude latitude olevel ,volcello,ocean,fx,area: areacello volume: volcello,fx ((isd.003)),,22,babcc39c-e5dd-11e5-8482-ac72891c3257,4c69515bfc84c5cb5624e94228f58351,89fe9158-05ae-11e7-abe1-5404a60d96b5,"No temporal dimensions ... fixed field, Global ocean field on model levels [XY-O] [fixed]","CMIP,DCPP,PMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,PMIP,ScenarioMIP",,,,,False,False,False,False,x,False,,,,,,,,,,
1,Sea Area Fraction,%,This is the area fraction at the ocean surface.,This is the area fraction at the ocean surface.,sftof,sea_area_fraction,area: mean,,real,longitude latitude ,sftof,ocean,fx,area: areacello,Ofx ((isd.003)),,,baa3f2e0-e5dd-11e5-8482-ac72891c3257,20e7d22ad09b324af00f41f6060701a7,f7e3637e-562c-11e6-a2a4-ac72891c3257,"No temporal dimensions ... fixed field, Global field (single level)","CMIP,DCPP,OMIP,PMIP",,,,,,,,,,,UM:1,,,,,,,,,,
