Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
2,Specific Humidity,1.0,,,hus,specific_humidity,time: mean,,,longitude latitude plev27 time,hus27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,20,f7bcb260-562c-11e6-a2a4-ac72891c3257,53f4724d228998d54191c73352532ce3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 3,False,x,x,x,x,False,False,lo-la-p-ti__hus27,"m01s30i205,m01s30i301",
2,Cloud Ice Mixing Ratio,1.0,Cloud ice mixing ratio,,cldicemxrat,cloud_ice_mixing_ratio,time: mean,,,longitude latitude plev27 time,cldicemxrat27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,21,f7b8edf6-562c-11e6-a2a4-ac72891c3257,5913a2fe-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-p-ti__cldicemxrat27,,
2,Cloud Water Mixing Ratio,1.0,Cloud water mixing ratio,,cldwatmxrat,cloud_liquid_water_mixing_ratio,time: mean,,,longitude latitude plev27 time,cldwatmxrat27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,22,f7b8c0b0-562c-11e6-a2a4-ac72891c3257,59151288-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-p-ti__cldwatmxrat27,,
2,rain_mixing_ratio,1.0,Rain mixing ratio,,rainmxrat,mass_fraction_of_rain_in_air,time: mean,,,longitude latitude plev27 time,rainmxrat27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,23,f7bcc9e4-562c-11e6-a2a4-ac72891c3257,5914b9be-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-p-ti__rainmxrat27,,
2,snow_mixing_ratio,1.0,Snow mixing ratio,,snowmxrat,mass_fraction_of_snow_in_air,time: mean,,,longitude latitude plev27 time,snowmxrat27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,24,f7bb3296-562c-11e6-a2a4-ac72891c3257,5917d1d0-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-p-ti__snowmxrat27,,
2,Graupel Mixing Ratio,1.0,Graupel mixing ratio,,grplmxrat,mass_fraction_of_graupel_in_air,time: mean,,,longitude latitude plev27 time,grplmxrat27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,25,f7be3734-562c-11e6-a2a4-ac72891c3257,590f21d4-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-p-ti__grplmxrat27,,
1,integrated_eastward_wind_times_humidity,m2 s-1,Column integrated eastward wind times specific humidity,Eastward integrated moisture transport,uqint,,time: mean,,,longitude latitude time,uqint,atmos,mon,area: areacella,HighResMIP [Amon_ext],,13,8badd2a2-4a5b-11e6-9cd2-ac72891c3257,59177dc0-9e49-11e5-803c-0d0b866b59f3,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",,,,False,CHANGED: -999,False,x,x,x,x,False,UM:1,lo-la-ti__uqint,m01s30i428,
1,integrated_northward_wind_times_humidity,m2 s-1,Column integrated northward wind times specific humidity,Northward integrated moisture transport,vqint,,time: mean,,,longitude latitude time,vqint,atmos,mon,area: areacella,HighResMIP [Amon_ext],,14,8baddaa4-4a5b-11e6-9cd2-ac72891c3257,591306a0-9e49-11e5-803c-0d0b866b59f3,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",,,,False,CHANGED: -999,False,x,x,x,x,False,UM:1,lo-la-ti__vqint,m01s30i429,
1,Eastward Wind,m s-1,,in Amon,ua,eastward_wind,time: mean,,,longitude latitude plev7c time,ua,atmos,mon,area: areacella,HighResMIP [Amon_ext],,13,8baf15fe-4a5b-11e6-9cd2-ac72891c3257,21db90c0a12448299f855fdab60930d4,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__ua,m01s00i002,
1,Northward Wind,m s-1,,in Amon,va,northward_wind,time: mean,,,longitude latitude plev7c time,va,atmos,mon,area: areacella,HighResMIP [Amon_ext],,14,e92d27e6-aa70-11e6-9736-5404a60d96b5,2dedcb347c18e132a2f4d625abf94585,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__va,m01s00i003,
2,omega (=dp/dt),Pa s-1,"Omega (vertical velocity in pressure coordinates, positive downwards)",,wap,lagrangian_tendency_of_air_pressure,time: mean,,real,longitude latitude alevel time,wap,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,15,8baf204e-4a5b-11e6-9cd2-ac72891c3257,51fb29dd55442361fa9c5dbe23aca9c6,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-al-ti__wap,m01s30i008,
2,square_of_eastward_wind,m2 s-2,u*u,,u2,square_of_eastward_wind,time: mean,,,longitude latitude alevel time,u2,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,17,8baf2b66-4a5b-11e6-9cd2-ac72891c3257,59175dc2-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__u2,,
2,square_of_northwardwind,m2 s-2,v*v,,v2,square_of_northward_wind,time: mean,,,longitude latitude alevel time,v2,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,18,8baf330e-4a5b-11e6-9cd2-ac72891c3257,591485b6-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__v2,,
2,square_of_omega,Pa2 s-2,omega*omega,,wap2,square_of_lagrangian_tendency_of_air_pressure,time: mean,,,longitude latitude alevel time,wap2,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,19,8baf39ee-4a5b-11e6-9cd2-ac72891c3257,591371b2-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__wap2,,
