Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,,
1,Sea Ice Thickness,m,Actual (floe) thickness of sea ice (NOT volume divided by grid area as was done in CMIP5),,sithick,sea_ice_thickness,area: time: mean where sea_ice (comment: mask=siconc),,real,longitude latitude time,sithick,seaIce ocean,day,area: areacella,SIMIP [seaiceday],,48,d243ba76-4a9f-11e6-b84e-ac72891c3257,591321f8-9e49-11e5-803c-0d0b866b59f3,f94dae78-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","CFMIP,CMIP,DAMIP,HighResMIP,LS3MIP,SIMIP,VolMIP",,1,x,1,False,x,x,x,x,x,UM:1,lo-la-ti_a:m-sea_sithick,m01s00i032,,
1,X-component of sea ice velocity,m s-1,The x-velocity of ice on native model grid,,siu,sea_ice_x_velocity,area: time: mean where sea_ice (comment: mask=siconc),,,longitude latitude time,siu,seaIce,day,--MODEL,SIMIP [seaiceday],,45,b811a784-7c00-11e6-bcdf-ac72891c3257,590e80c6-9e49-11e5-803c-0d0b866b59f3,f94c7fbc-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,CMIP,DAMIP,HighResMIP,SIMIP,VolMIP",,1,x,1,False,x,x,x,x,x,CICE:1,lo-la-ti__siu,,,
1,Y-component of sea ice velocity,m s-1,The y-velocity of ice on native model grid,,siv,sea_ice_y_velocity,area: time: mean where sea_ice (comment: mask=siconc),,,longitude latitude time,siv,seaIce,day,--MODEL,SIMIP [seaiceday],,46,b811b062-7c00-11e6-bcdf-ac72891c3257,59141748-9e49-11e5-803c-0d0b866b59f3,f94c7fbc-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,CMIP,DAMIP,HighResMIP,SIMIP,VolMIP",,1,x,1,False,x,x,x,x,x,CICE:1,lo-la-ti__siv,,,
1,Sea Ice Area Fraction,%,Area fraction of grid cell covered by sea ice,,siconc,sea_ice_area_fraction,area: time: mean ,,real,longitude latitude time,siconc,seaIce,day,area: areacella,SIMIP [seaiceday],,47,d243b4a4-4a9f-11e6-b84e-ac72891c3257,5914ab90-9e49-11e5-803c-0d0b866b59f3,f7ddef0c-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,CMIP,CORDEX,DAMIP,DCPP,HighResMIP,LS3MIP,SIMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,GeoMIP,HighResMIP,ISMIP6,PMIP,ScenarioMIP,VolMIP",,x,1,False,x,x,x,x,x,UM:1,lo-la-ti__sic,m01s00i031,,
