Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
3,Surface Downward Eastward Wind Stress,Pa,Downward eastward wind stress at the surface,,tauu,surface_downward_eastward_stress,area: time: mean ,down,real,longitude latitude time,tauu,atmos,day,area: areacella,DCPP [DCPP-day],,16,8b980e9a-4a5b-11e6-9cd2-ac72891c3257,3abb7c5b4c4650e9d17a8439004aebea,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","DCPP,DynVar,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,x,NEW: 1,,x,x,x,x,New: x,UM:1,lo-la-ti__tauu,m01s03i460,
1,Surface Downward Northward Wind Stress,Pa,Downward northward wind stress at the surface,"surface, now requesting daily output.",tauv,surface_downward_northward_stress,area: time: mean ,down,real,longitude latitude time,tauv,atmos,day,area: areacella,DynVar [DYVR_daily_c],,17,8b981340-4a5b-11e6-9cd2-ac72891c3257,bd10cebbde1593b65e5220911f9a997c,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","DCPP,DynVar,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,x,NEW: 1,,x,x,x,x,New: x,UM:1,lo-la-ti__tauv,m01s03i461,
1,eastward surface stress from planetary boundary layer scheme,Pa,The  downward eastward stress associated with the models parameterization of the plantary boundary layer. (This request is related to a WGNE effort to understand how models parameterize the surface stresses.),surface,tauupbl,surface_downward_eastward_stress_due_to_planetary_boundary_layer,area: time: mean ,,,longitude latitude time,tauupbl,atmos,day,area: areacella,DynVar [DYVR_daily_c],,14,8b98040e-4a5b-11e6-9cd2-ac72891c3257,590ea93e-9e49-11e5-803c-0d0b866b59f3,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -999,,False,False,False,False,New: False,,,,
1,northward surface stress from planetary boundary layer scheme,Pa,The  downward northward stress associated with the models parameterization of the plantary boundary layer. (This request is related to a WGNE effort to understand how models parameterize the surface stresses.),surface,tauvpbl,surface_downward_northward_stress_due_to_planetary_boundary_layer,area: time: mean ,,,longitude latitude time,tauvpbl,atmos,day,area: areacella,DynVar [DYVR_daily_c],,15,8b9809e0-4a5b-11e6-9cd2-ac72891c3257,590f5b72-9e49-11e5-803c-0d0b866b59f3,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -999,,False,False,False,False,New: False,,,,
1,PARASOL Reflectance,1.0,Simulated reflectance from PARASOL as seen at the top of the atmosphere for 5 solar zenith angles. Valid only over ocean and for one viewing direction (viewing zenith angle of 30 degrees and relative azimuth angle 320 degrees).,PARASOL Reflectance ,parasolRefl,toa_bidirectional_reflectance,area: mean where sea time: mean,,real,longitude latitude sza5 time,parasolRefl,atmos,day,area: areacella,CFMIP [CFdayExtra],,41,8b8a85cc-4a5b-11e6-9cd2-ac72891c3257,a06b8e83250b870d9f39dc1f6534efcb,e9fa9724-c1ce-11e6-8067-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {sza5:} [tmean]",CFMIP,"AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,-3 (COSP),False,False,False,False,False,False,UM:1,lo-la-ti-sz__parasolRefl,m01s02i348,
